id,count,Kingdom,Phylum,Class,Order,Family,Genus,count
10317.000012326,40,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_UCG-010,40
10317.000012326,38,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_NK4A214_group,38
10317.000012326,38,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospira,38
10317.000012326,37,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Barnesiellaceae,"",37
10317.000012326,37,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,37
10317.000012326,37,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,37
10317.000012326,35,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,35
10317.000012326,35,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,"",35
10317.000012326,34,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,34
10317.000012326,33,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,"",33
10317.000012326,33,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospira,33
10317.000012326,31,Bacteria,Bacteroidetes,Bacteroidia,"","","",31
10317.000012326,31,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,"",31
10317.000012326,31,Bacteria,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,Christensenellaceae_R-7_group,31
10317.000012326,30,Archaea,Euryarchaeota,Thermoplasmata,Methanomassiliicoccales,Methanomassiliicoccaceae,Methanomassiliicoccus,30
10317.000012326,30,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Intestinimonas,30
10317.000012326,30,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,30
10317.000012326,29,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,"",29
10317.000012326,27,Bacteria,Firmicutes,Clostridia,"","","",27
10317.000012326,27,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillibacter,27
10317.000012326,27,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Fusicatenibacter,27
10317.000012326,27,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_vadinBB60_group,"",27
10317.000012326,26,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Marinifilaceae,Butyricimonas,26
10317.000012326,26,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,"",26
10317.000012326,25,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,25
10317.000012326,25,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus_1,25
10317.000012326,25,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_NK4A136_group,25
10317.000012326,25,Bacteria,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,Christensenellaceae_R-7_group,25
10317.000012326,25,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,"",25
10317.000012326,24,Bacteria,Firmicutes,Clostridia,Clostridiales,"","",24
10317.000012326,23,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Candidatus_Stoquefichus,23
10317.000012326,23,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Romboutsia,23
